EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAING;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FECHAMOV;ADICIONA;RESTANTE;ENTREGO
CARLOS ALBERTO OSSA JACOME;ZE011;TIENDA INESITA;CL 30 #16 64;TIEINE01;04/06/2003;2;0;0;0;0;0;0;0;PATRIA;30/3/2011;0;1;1
CARLOS ALBERTO OSSA JACOME;ZE011;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;25/02/2004;2;0;0;0;0;0;0;0;PATRIA;30/3/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;04/09/1995;2;0;0;0;0;0;0;0;PATRIA;30/3/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;05/09/1995;2;0;0;0;0;0;0;0;PATRIA;30/3/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;24/04/2000;2;0;0;0;0;0;0;0;PATRIA;30/3/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;TIENDA INESITA;CL 30 #16 64;TIEINE01;04/06/2003;2;0;0;0;0;0;0;0;NUEVO ESTADIO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;25/02/2004;2;0;0;0;0;0;0;0;NUEVO ESTADIO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;04/09/1995;2;0;0;0;0;0;0;0;NUEVO ESTADIO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;05/09/1995;2;0;0;0;0;0;0;0;NUEVO ESTADIO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;24/04/2000;2;0;0;0;0;0;0;0;NUEVO ESTADIO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;TIENDA INESITA;CL 30 #16 64;TIEINE01;04/06/2003;2;0;0;0;0;0;0;0;Q HUBO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;25/02/2004;2;0;0;0;0;0;0;0;Q HUBO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;CONFAMILIARES CAMPOHERMOSO;AV.19 #14 53;CONFAM02;04/09/1995;2;0;0;0;0;0;0;0;Q HUBO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;ABUNDANCIA LA PUERTA DEL SOL;CL 33 # 19-62;ABUPUE01;05/09/1995;2;0;0;0;0;0;0;0;Q HUBO;30/03/2011;0;0;0
CARLOS ALBERTO OSSA JACOME;ZE011;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;24/04/2000;2;0;0;0;0;0;0;0;Q HUBO;30/03/2011;0;0;0
